schema_version,review_only,trading_authority,packet_id,source_id,source_kind,ocr_verified,daily_plan_eligible,source_label,source_timestamp_et,level,window_csv,crop_bar_count,crop_missing_bar_count,flush_points,flush_ticks,trap_candle_timestamp_et,trap_candle_open,trap_candle_high,trap_candle_low,trap_candle_close,trap_candle_volume,trap_candle_wick_to_body,first_reclaim_close_timestamp_et,acceptance_closes,reclaim_minutes_from_trap,reclaim_time_bucket,reclaim_2_to_3_5_match,acceptance_family,candidate_acceptance_family,acceptance_family_is_strategy_trigger,family_label_status,classic_acceptance_backtest_from_below,classic_acceptance_second_attempt_reclaim,non_acceptance_protocol_match,non_acceptance_held_bars,acceptance_classifier_notes,trigger_validation_status,trigger_validation_reasons,trigger_validation_warnings,source_setup_evidence_status,source_level_role_status,prior_level_tests_before_trap,reclaim_hold_closes,trap_low_below_level_points,immediate_failure_after_reclaim,ninja_shadow_candidate,positive_training_example,invalidation_sweep_low_minus_1tick,invalidation_level_minus_2points,mfe_15m,mae_15m,mfe_60m,mae_60m,accepted_for_timing_test,accepted_for_trigger_modeling,reject_reasons
1,True,none,mancini-es1m:2026-03-04T0023:6776.0:6eac29c1821f,longer-mancini-logs-2,daily_plan_text,False,True,Supports are: 6776,2026-03-04T00:23:00-05:00,6776.0,artifacts\research\hermes-mancini-event-packets\windows\20260304_0023_6776.0_6eac29c1821f.csv,31,0,2.5,10.0,2026-03-04T00:16:00-05:00,6777.75,6777.75,6773.5,6774.0,743.0,0.1333,2026-03-04T00:23:00-05:00,16,7.0,3_5_to_10,False,non_acceptance_protocol,non_acceptance_protocol,False,heuristic_bucket_not_mancini_trigger,True,False,True,14,deterministic_ohlc_heuristic_research_only,not_validated_for_trigger,"['level_list_only_not_setup_description', 'source_level_role_ambiguous']",[],level_list_only_not_setup_description,source_level_role_ambiguous,4,16,2.5,False,False,False,6773.25,6774.0,15.5,1.75,17.5,1.75,True,False,[]
1,True,none,mancini-es1m:2026-03-03T2139:6782.0:8cb8c2777bb4,longer-mancini-logs-2,daily_plan_text,False,True,Supports are: 6782 (major),2026-03-03T21:39:00-05:00,6782.0,artifacts\research\hermes-mancini-event-packets\windows\20260303_2139_6782.0_8cb8c2777bb4.csv,31,0,4.5,18.0,2026-03-03T21:34:00-05:00,6779.0,6779.5,6777.5,6777.75,340.0,0.6,2026-03-03T21:39:00-05:00,16,5.0,3_5_to_10,False,classic_acceptance_backtest_from_below,classic_acceptance_backtest_from_below,False,heuristic_bucket_not_mancini_trigger,True,False,False,0,deterministic_ohlc_heuristic_research_only,not_validated_for_trigger,"['level_list_only_not_setup_description', 'source_level_role_ambiguous']",[],level_list_only_not_setup_description,source_level_role_ambiguous,4,16,4.5,False,False,False,6777.25,6780.0,4.25,7.5,15.0,7.5,True,False,[]
1,True,none,mancini-es1m:2026-03-03T2039:6790.0:a70152a4e786,longer-mancini-logs-2,daily_plan_text,False,True,Supports are: 6790,2026-03-03T20:39:00-05:00,6790.0,artifacts\research\hermes-mancini-event-packets\windows\20260303_2039_6790.0_a70152a4e786.csv,31,0,2.25,9.0,2026-03-03T20:36:00-05:00,6789.5,6792.0,6787.75,6791.75,642.0,0.8889,2026-03-03T20:39:00-05:00,16,3.0,2_to_3_5,True,non_acceptance_protocol,non_acceptance_protocol,False,heuristic_bucket_not_mancini_trigger,False,False,True,12,deterministic_ohlc_heuristic_research_only,not_validated_for_trigger,"['level_list_only_not_setup_description', 'source_level_role_ambiguous']",[],level_list_only_not_setup_description,source_level_role_ambiguous,2,16,2.25,False,False,False,6787.5,6788.0,13.0,1.0,13.0,14.75,True,False,[]
1,True,none,mancini-es1m:2026-03-03T1928:6800.0:398c6bacdc82,longer-mancini-logs-2,daily_plan_text,False,True,I wasn't at the screen here and we were up at 6800 by the time I originally checked price (just below that big 6808 level) so I was good waiting for that to recover which I also tweeted at 8am.,2026-03-03T19:28:00-05:00,6800.0,artifacts\research\hermes-mancini-event-packets\windows\20260303_1928_6800.0_398c6bacdc82.csv,31,0,4.75,19.0,2026-03-03T19:31:00-05:00,6797.0,6800.0,6795.25,6797.75,483.0,5.3333,2026-03-03T19:28:00-05:00,1,,missing,False,classic_acceptance_second_attempt_reclaim,classic_acceptance_second_attempt_reclaim,False,heuristic_bucket_not_mancini_trigger,False,True,False,0,deterministic_ohlc_heuristic_research_only,not_validated_for_trigger,"['context_text_not_explicit_setup', 'source_level_role_ambiguous', 'reclaim_not_after_trap', 'reclaim_did_not_hold_required_closes', 'immediate_close_back_below_level_after_reclaim']",[],context_text_not_explicit_setup,source_level_role_ambiguous,10,1,4.75,True,False,False,6795.0,6798.0,12.25,6.5,12.25,7.75,False,False,['missing_or_nonpositive_reclaim_minutes']
1,True,none,mancini-es1m:2026-03-03T1940:6802.0:7287cc965506,longer-mancini-logs-2,daily_plan_text,False,True,Supports are: 6802,2026-03-03T19:40:00-05:00,6802.0,artifacts\research\hermes-mancini-event-packets\windows\20260303_1940_6802.0_7287cc965506.csv,31,0,6.75,27.0,2026-03-03T19:31:00-05:00,6797.0,6800.0,6795.25,6797.75,483.0,5.3333,2026-03-03T19:40:00-05:00,8,9.0,3_5_to_10,False,non_acceptance_protocol,non_acceptance_protocol,False,heuristic_bucket_not_mancini_trigger,True,True,True,6,deterministic_ohlc_heuristic_research_only,not_validated_for_trigger,"['level_list_only_not_setup_description', 'source_level_role_ambiguous']",[],level_list_only_not_setup_description,source_level_role_ambiguous,5,8,6.75,False,False,False,6795.0,6800.0,7.0,9.5,7.0,19.25,True,False,[]
1,True,none,mancini-es1m:2026-03-03T1715:6818.0:4df8690d4034,longer-mancini-logs-2,daily_plan_text,False,True,Supports are: 6818,2026-03-03T17:15:00-05:00,6818.0,artifacts\research\hermes-mancini-event-packets\windows\20260303_1715_6818.0_4df8690d4034.csv,31,0,12.5,50.0,2026-03-03T17:06:00-05:00,6807.25,6808.25,6805.5,6807.0,222.0,10.0,2026-03-03T17:15:00-05:00,7,9.0,3_5_to_10,False,classic_acceptance_backtest_from_below,classic_acceptance_backtest_from_below,False,heuristic_bucket_not_mancini_trigger,True,False,False,0,deterministic_ohlc_heuristic_research_only,not_validated_for_trigger,"['level_list_only_not_setup_description', 'source_level_role_ambiguous', 'prior_shelf_or_cluster_not_visible_enough']",[],level_list_only_not_setup_description,source_level_role_ambiguous,0,7,12.5,False,False,False,6805.25,6816.0,3.75,10.0,3.75,15.0,True,False,[]
1,True,none,mancini-es1m:2026-03-03T1820:6822.0:ceea33247e1a,longer-mancini-logs-2,daily_plan_text,False,True,Supports are: 6822 (major),2026-03-03T18:20:00-05:00,6822.0,artifacts\research\hermes-mancini-event-packets\windows\20260303_1820_6822.0_ceea33247e1a.csv,31,0,16.0,64.0,2026-03-03T18:09:00-05:00,6807.25,6815.5,6806.0,6814.5,1250.0,0.3103,2026-03-03T18:20:00-05:00,11,11.0,10_plus,False,non_acceptance_protocol,non_acceptance_protocol,False,heuristic_bucket_not_mancini_trigger,False,False,True,4,deterministic_ohlc_heuristic_research_only,not_validated_for_trigger,"['level_list_only_not_setup_description', 'source_level_role_ambiguous', 'prior_shelf_or_cluster_not_visible_enough']",['limited_pre_trap_context'],level_list_only_not_setup_description,source_level_role_ambiguous,0,11,16.0,False,False,False,6805.75,6820.0,2.5,18.25,2.5,23.75,True,False,[]
1,True,none,mancini-es1m:2026-03-04T0912:6853.0:4e1e52046e44,longer-mancini-logs-2,daily_plan_text,False,True,"Monday Evening, The Start of the Sell, and the Possible 6853 Failed Breakdown We closed up yesterday after a monster Failed Breakdown and all-day rally.",2026-03-04T09:12:00-05:00,6853.0,artifacts\research\hermes-mancini-event-packets\windows\20260304_0912_6853.0_4e1e52046e44.csv,31,0,23.25,93.0,2026-03-04T08:59:00-05:00,6831.0,6836.25,6829.75,6836.25,2514.0,0.2381,2026-03-04T09:12:00-05:00,16,13.0,10_plus,False,non_acceptance_protocol,non_acceptance_protocol,False,heuristic_bucket_not_mancini_trigger,False,False,True,13,deterministic_ohlc_heuristic_research_only,not_validated_for_trigger,['prior_shelf_or_cluster_not_visible_enough'],['limited_pre_trap_context'],explicit_setup_language_present,matched_explicit_failed_breakdown_level,0,16,23.25,False,False,False,6829.5,6851.0,33.0,2.5,36.5,2.5,True,False,[]
1,True,none,mancini-es1m:2026-03-09T1913:6764.0:33352b2c422b,longer-mancini-logs-2,daily_plan_text,False,True,Supports are: 6764,2026-03-09T19:13:00-04:00,6764.0,artifacts\research\hermes-mancini-event-packets\windows\20260309_1913_6764.0_33352b2c422b.csv,31,0,1.5,6.0,2026-03-09T19:13:00-04:00,6765.0,6766.0,6762.5,6762.75,399.0,0.5556,2026-03-09T19:14:00-04:00,15,1.0,0_to_1,False,non_acceptance_protocol,non_acceptance_protocol,False,heuristic_bucket_not_mancini_trigger,False,False,True,13,deterministic_ohlc_heuristic_research_only,not_validated_for_trigger,"['level_list_only_not_setup_description', 'source_level_role_ambiguous', 'reclaim_bar_did_not_close_strictly_above_level', 'reclaim_did_not_hold_required_closes']",[],level_list_only_not_setup_description,source_level_role_ambiguous,3,0,1.5,False,False,False,6762.25,6762.0,14.25,2.5,26.5,2.5,True,False,[]
1,True,none,mancini-es1m:2026-03-09T1927:6774.0:2758841277d0,longer-mancini-logs-2,daily_plan_text,False,True,Supports are: 6774,2026-03-09T19:27:00-04:00,6774.0,artifacts\research\hermes-mancini-event-packets\windows\20260309_1927_6774.0_2758841277d0.csv,31,0,11.5,46.0,2026-03-09T19:13:00-04:00,6765.0,6766.0,6762.5,6762.75,399.0,0.5556,2026-03-09T19:27:00-04:00,16,14.0,10_plus,False,non_acceptance_protocol,non_acceptance_protocol,False,heuristic_bucket_not_mancini_trigger,True,False,True,4,deterministic_ohlc_heuristic_research_only,not_validated_for_trigger,"['level_list_only_not_setup_description', 'source_level_role_ambiguous', 'prior_shelf_or_cluster_not_visible_enough']",['limited_pre_trap_context'],level_list_only_not_setup_description,source_level_role_ambiguous,0,16,11.5,False,False,False,6762.25,6772.0,10.25,3.25,12.75,3.25,True,False,[]
