level_id,source_id,source_kind,source_path,ocr_verified,source_snippet,plan_date,pub_date,price,zone_low,zone_high,primary_role,direction,tags,long_eligible,bars_in_session,saty_valid,nearest_saty_label,nearest_saty_price,nearest_saty_distance,event_status,touch_ct,touch_et,sweep_ct,sweep_et,sweep_low,sweep_depth_points,reclaim_ct,reclaim_et,sweep_reclaim_same_bar,acceptance2_ct,acceptance2_et,acceptance3_ct,acceptance3_et,nonacceptance2_ct,nonacceptance2_et,entry_model,entry_ct,entry_et,entry_price,horizon_5m_complete,mfe_5m,mae_5m,hit_2pt_5m,hit_4pt_5m,hit_8pt_5m,hit_10pt_5m,horizon_15m_complete,mfe_15m,mae_15m,hit_2pt_15m,hit_4pt_15m,hit_8pt_15m,hit_10pt_15m,horizon_30m_complete,mfe_30m,mae_30m,hit_2pt_30m,hit_4pt_30m,hit_8pt_30m,hit_10pt_30m,horizon_60m_complete,mfe_60m,mae_60m,hit_2pt_60m,hit_4pt_60m,hit_8pt_60m,hit_10pt_60m,mfe_eod,mae_eod,hit_2pt_eod,hit_4pt_eod,hit_8pt_eod,hit_10pt_eod,eod_complete
3ac55ff80e96,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6517 (major).,2026-02-20,2026-02-19,6517,6517,6517,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6fbde20a98dc,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6528,2026-02-20,2026-02-19,6528,6528,6528,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547e8e898faf,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6535,2026-02-20,2026-02-19,6535,6535,6535,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc555e034a1,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6542 (major),2026-02-20,2026-02-19,6542,6542,6542,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d30cd88041f,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6548,2026-02-20,2026-02-19,6548,6548,6548,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e0d7eabeb79,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6555,2026-02-20,2026-02-19,6555,6555,6555,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bfa9ee8590a,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6564,2026-02-20,2026-02-19,6564,6564,6564,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c834fea9f2b5,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6572 (major),2026-02-20,2026-02-19,6572,6572,6572,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aad1067429a4,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6583,2026-02-20,2026-02-19,6583,6583,6583,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a198e74f4592,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6589 (major),2026-02-20,2026-02-19,6589,6589,6589,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f07a0e8d9b8c,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6598 (major),2026-02-20,2026-02-19,6598,6598,6598,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6fd1e794f8a3,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6604,2026-02-20,2026-02-19,6604,6604,6604,SUPPORT_LEVEL,support,,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b206481b0745,longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,Supports are: 6610 (major),2026-02-20,2026-02-19,6610,6610,6610,MAJOR_SUPPORT,support,major,true,0,false,,,,no_bars_for_plan_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
