training_row_id,row_origin,raw_file,line,plan_date,pub_date,session_date,packet_id,setup_level,swept_low,recovered_level,entry_price,entry_timestamp_et,source_mode,source_confidence_score,significant_low_score,prior_touch_count,prior_hold_minutes,prior_bounce_points,major_source_bonus,flush_depth,flush_depth_ticks,approach_velocity,multi_level_flush_count,volume_on_trap_bar,median_volume_30m,flush_score,reclaim_score,reclaim_close_location,reclaim_range,acceptance_closes_above_L,non_acceptance_score,non_acceptance_score_with_outcome_audit,non_acceptance_closes,reclaim_minutes_from_trap,squeeze_score,candidate_score,target_room,risk_to_sweep,target_R,next_trusted_level_above,next_trusted_level_source,next_trusted_level_role,next_trusted_level_pub_date,time_of_day_bucket,visual_sanity_status,source_blocker_count,bars_available,window_csv,acceptance_family_model,hard_reject,hard_reject_reasons
direct-04e3eca3d3c0cd31,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,8,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-18T0823:6689.0:b3b99000408f,6689.0,6683.25,6689.0,6690.0,2026-03-18T08:17:00-04:00,actual_recap,1.0,0.6438,22,27.0,7.0,1.0,5.75,23.0,0.4554,1,378.0,324.0,0.4918,1.0,1.0,5.5,16,0.7,0.7,5,7.0,0.735,0.7563,53.0,7.0,7.5714,6743.0,daily_plan_text,SUPPORT_LEVEL,2026-03-17,overnight_premarket,review_only_context,2,31,artifacts\research\hermes-mancini-event-packets\windows\20260318_0823_6689.0_b3b99000408f.csv,non_acceptance_protocol,false,
direct-234f9a64d95853cf,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,10,2026-03-18,2026-03-17,2026-03-18,,,,,,,actual_recap,0.4,0.2,0,0.0,0.0,1.0,,,,0,49.0,63.0,0.0778,0.0,,,0,0.0,0.0,0,,0.0,0.1056,,,,6808.0,source_row_target,target_or_response,2026-03-17,missing,,1,1319,,simple_reclaim_unclassified,true,missing_setup_level;no_reclaim;target_missing_or_below_entry
direct-687871b874c8f420,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,37,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-18T1441:6635.0:3b9205c20946,6764.0,6627.5,6764.0,6639.0,2026-03-18T14:26:00-04:00,planned_setup,0.65,0.2,0,0.0,0.0,1.0,136.5,546.0,0.7679,28,382.0,292.0,0.7768,0.55,0.3,2.5,15,0.7,0.7,8,,0.74,0.5934,130.0,11.75,11.0638,6769.0,daily_plan_text,MAJOR_SUPPORT,2026-03-17,afternoon,dangerous_demote_for_training,2,31,artifacts\research\hermes-mancini-event-packets\windows\20260318_1441_6635.0_3b9205c20946.csv,non_acceptance_protocol,false,
direct-4ff02b660065f9b2,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,37,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-18T1338:6658.0:d6e77f2ee797,6658.0,6647.25,6658.0,6663.5,2026-03-18T13:38:00-04:00,planned_setup,0.65,0.7177,12,16.0,14.75,1.0,10.75,43.0,1.1739,2,587.0,396.0,0.7783,0.7333,0.2727,5.5,2,0.8,0.8,2,,0.5294,0.706,8.5,16.5,0.5152,6672.0,daily_plan_text,SUPPORT_LEVEL,2026-03-17,midday,dangerous_demote_for_training,2,31,artifacts\research\hermes-mancini-event-packets\windows\20260318_1338_6658.0_d6e77f2ee797.csv,non_acceptance_protocol,true,immediate_failure_after_reclaim
direct-32abb6ff0db5b7b0,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,37,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-18T1441:6635.0:3b9205c20946,6635.0,6627.5,6635.0,6639.0,2026-03-18T14:26:00-04:00,planned_setup,0.65,0.5542,6,5.0,3.5,1.0,7.5,30.0,0.7679,1,382.0,292.0,0.6216,0.8,0.3,2.5,15,0.7,0.7,8,,0.74,0.6759,33.0,11.75,2.8085,6672.0,daily_plan_text,MAJOR_SUPPORT,2026-03-17,afternoon,dangerous_demote_for_training,2,31,artifacts\research\hermes-mancini-event-packets\windows\20260318_1441_6635.0_3b9205c20946.csv,non_acceptance_protocol,false,
direct-70a80f1df1fc356f,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,37,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-18T0823:6689.0:b3b99000408f,6689.0,6683.25,6689.0,6690.0,2026-03-18T08:17:00-04:00,planned_setup,0.65,0.6438,22,27.0,7.0,1.0,5.75,23.0,0.4554,1,378.0,324.0,0.4918,1.0,1.0,5.5,16,0.7,0.7,5,7.0,0.735,0.7213,79.0,7.0,11.2857,6769.0,daily_plan_text,SUPPORT_LEVEL,2026-03-17,overnight_premarket,review_only_context,2,31,artifacts\research\hermes-mancini-event-packets\windows\20260318_0823_6689.0_b3b99000408f.csv,non_acceptance_protocol,false,
direct-889fd13df7859b5b,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,37,2026-03-18,2026-03-17,2026-03-17,mancini-es1m:2026-03-17T2103:6735.0:9511992689d1,6735.0,6731.25,6735.0,6735.0,2026-03-17T21:00:00-04:00,planned_setup,0.65,1.0,51,293.0,22.5,1.0,3.75,15.0,-0.4107,1,261.0,82.0,0.4307,0.75,0.9091,2.75,16,0.0,0.1,0,11.0,0.7,0.7286,34.0,4.0,8.5,6769.0,daily_plan_text,FAILED_BREAKDOWN_RECLAIM,2026-03-17,post_rth,insufficient_visual_context,2,31,artifacts\research\hermes-mancini-event-packets\windows\20260317_2103_6735.0_9511992689d1.csv,simple_reclaim_unclassified,false,
direct-c54129251027eecd,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,41,2026-03-18,2026-03-17,2026-03-18,,,,,,,context_recap,0.4,0.2,0,0.0,0.0,1.0,,,,0,49.0,63.0,0.0778,0.0,,,0,0.0,0.0,0,,0.0,0.1056,,,,,,,,missing,,1,1319,,simple_reclaim_unclassified,true,missing_setup_level;no_reclaim;target_missing_or_below_entry
direct-a0ab8b6153800ef7,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,43,2026-03-18,2026-03-17,2026-03-18,,,,,,,negative_control,0.0,0.2,0,0.0,0.0,1.0,,,,0,49.0,63.0,0.0778,0.0,,,0,0.0,0.0,0,,0.0,0.0656,,,,,,,,missing,,1,1319,,simple_reclaim_unclassified,true,source_negative_control;missing_setup_level;no_reclaim;target_missing_or_below_entry
direct-3e03ce1c4f9aedc7,direct_source_audit,data\research\mancini\Longer Mancini Logs 2.txt,45,2026-03-18,2026-03-17,2026-03-18,mancini-es1m:2026-03-18T0823:6689.0:b3b99000408f,6689.0,6689.0,6689.0,6690.0,2026-03-18T08:17:00-04:00,context_recap,0.4,0.6438,22,27.0,7.0,1.0,0.0,0.0,0.25,0,378.0,324.0,0.1479,1.0,1.0,5.5,16,0.7,0.7,5,7.0,0.735,0.6275,79.0,1.25,63.2,6769.0,daily_plan_text,SUPPORT_LEVEL,2026-03-17,overnight_premarket,review_only_context,3,31,artifacts\research\hermes-mancini-event-packets\windows\20260318_0823_6689.0_b3b99000408f.csv,non_acceptance_protocol,false,
