training_row_id,row_origin,raw_file,line,plan_date,pub_date,session_date,packet_id,setup_level,swept_low,recovered_level,trap_detected_timestamp_et,reclaim_detected_timestamp_et,classification_complete_timestamp_et,candidate_fired_timestamp_et,candidate_timing_driver,outcome_window_available,horizon_15m_complete,horizon_60m_complete,reclaim_price,entry_price,entry_timestamp_et,source_mode,source_label_status,accepted_for_timing_test,source_confidence_score,significant_low_score,prior_touch_count,prior_hold_minutes,prior_bounce_points,major_source_bonus,flush_depth,flush_depth_ticks,approach_velocity,multi_level_flush_count,volume_on_trap_bar,median_volume_30m,flush_score,reclaim_score,reclaim_close_location,reclaim_range,acceptance_closes_above_L,acceptance_score_timestamp_et,non_acceptance_score_timestamp_et,first_threshold_close_timestamp_et,non_acceptance_score,non_acceptance_closes,reclaim_minutes_from_trap,squeeze_score,candidate_score,target_room,target_invalid_for_level_to_level,risk_to_sweep,target_R,next_trusted_level_above,next_trusted_level_source,next_trusted_level_role,next_trusted_level_pub_date,time_of_day_bucket,visual_sanity_status,source_blocker_count,bars_available,window_csv,acceptance_family_model,hard_reject,hard_reject_reasons
direct-a4f63a57559d3d11,direct_source_audit,data\backtest\es-long-bracket\derived\mancini-posts.jsonl,18,,,,,7180.0,,7180.0,,,,,reclaim_score,false,false,false,7180.0,,,context_recap,source_confirmed_fbd,false,0.8,0.0,0,0.0,0.0,0.0,,,,0,,,0.0,0.0,,,0,,,,0.0,0,,0.0,0.08,,true,,,,,,,missing,,3,0,,simple_reclaim_unclassified,true,missing_bars;no_reclaim;not_accepted_for_timing_test
direct-cadd2e195a9cdeb0,direct_source_audit,data\backtest\es-long-bracket\derived\mancini-posts.jsonl,33,,,,,7185.0,7185.0,7185.0,,,,,reclaim_score,false,false,false,7185.0,,,actual_recap,source_unparsed_fbd,false,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,0.0,0.0,,,0,,,,0.0,0,,0.0,0.0,,true,,,7208.0,source_row_target,target_or_response,,missing,,1,0,,simple_reclaim_unclassified,true,no_source_data_only;missing_bars;no_reclaim
direct-e389b776af92cb08,direct_source_audit,data\backtest\es-long-bracket\derived\mancini-posts.jsonl,36,,,,,7085.0,,7085.0,,,,,reclaim_score,false,false,false,7085.0,,,context_recap,source_confirmed_fbd,false,0.8,0.0,0,0.0,0.0,0.0,,,,0,,,0.0,0.0,,,0,,,,0.0,0,,0.0,0.08,,true,,,,,,,missing,,3,0,,simple_reclaim_unclassified,true,missing_bars;no_reclaim;not_accepted_for_timing_test
direct-5ab4315837a8bc3b,direct_source_audit,data\backtest\es-long-bracket\derived\mancini-posts.jsonl,37,,,,,7085.0,,7085.0,,,,,reclaim_score,false,false,false,7085.0,,,context_recap,source_confirmed_fbd,false,0.8,0.0,0,0.0,0.0,0.0,,,,0,,,0.0,0.0,,,0,,,,0.0,0,,0.0,0.08,,true,,,,,,,missing,,3,0,,simple_reclaim_unclassified,true,missing_bars;no_reclaim;not_accepted_for_timing_test
direct-8c108ec04bfbf070,direct_source_audit,data\backtest\es-long-bracket\derived\mancini-posts.jsonl,39,,,,,7085.0,,7085.0,,,,,reclaim_score,false,false,false,7085.0,,,context_recap,source_confirmed_fbd,false,0.8,0.0,0,0.0,0.0,0.0,,,,0,,,0.0,0.0,,,0,,,,0.0,0,,0.0,0.08,,true,,,,,,,missing,,3,0,,simple_reclaim_unclassified,true,missing_bars;no_reclaim;not_accepted_for_timing_test
direct-1888ce9a84bf7679,direct_source_audit,data\backtest\es-long-bracket\derived\mancini-posts.jsonl,41,,,,,7085.0,,7085.0,,,,,reclaim_score,false,false,false,7085.0,,,context_recap,source_confirmed_fbd,false,0.8,0.0,0,0.0,0.0,0.0,,,,0,,,0.0,0.0,,,0,,,,0.0,0,,0.0,0.08,,true,,,,,,,missing,,3,0,,simple_reclaim_unclassified,true,missing_bars;no_reclaim;not_accepted_for_timing_test
direct-19c8b935957e4c8e,direct_source_audit,data\backtest\es-long-bracket\derived\mancini-posts.jsonl,44,,,,,,,,,,,,reclaim_score,false,false,false,,,,context_recap,source_unparsed_fbd,false,0.0,0.2,0,0.0,0.0,1.0,,,,0,,,0.0,0.0,,,0,,,,0.0,0,,0.0,0.05,,true,,,,,,,missing,,1,0,,simple_reclaim_unclassified,true,no_source_data_only;missing_setup_level;missing_bars;no_reclaim
direct-bfa6817960ef4b10,direct_source_audit,data\backtest\es-long-bracket\derived\mancini-posts.jsonl,46,,,,,7085.0,7085.0,7085.0,,,,,reclaim_score,false,false,false,7085.0,,,actual_recap,source_confirmed_fbd,false,1.0,0.2,0,0.0,0.0,1.0,0.0,0.0,,0,,,0.0,0.0,,,0,,,,0.0,0,,0.0,0.15,,true,,,,,,,missing,,2,0,,simple_reclaim_unclassified,true,missing_bars;no_reclaim;not_accepted_for_timing_test
direct-60c74400878db5e8,direct_source_audit,data\backtest\es-long-bracket\derived\mancini-posts.jsonl,49,,,,,7085.0,,7085.0,,,,,reclaim_score,false,false,false,7085.0,,,planned_setup,source_planned_fbd,false,0.55,0.2,0,0.0,0.0,1.0,,,,0,,,0.0,0.0,,,0,,,,0.0,0,,0.0,0.105,,true,,,,,,,missing,,3,0,,simple_reclaim_unclassified,true,missing_bars;no_reclaim;not_accepted_for_timing_test
direct-cfdc2fd8c2ddf4b7,direct_source_audit,data\backtest\es-long-bracket\derived\mancini-posts.jsonl,52,,,,,,,,,,,,reclaim_score,false,false,false,,,,context_recap,source_unparsed_fbd,false,0.0,0.2,0,0.0,0.0,1.0,,,,0,,,0.0,0.0,,,0,,,,0.0,0,,0.0,0.05,,true,,,,,,,missing,,1,0,,simple_reclaim_unclassified,true,no_source_data_only;missing_setup_level;missing_bars;no_reclaim
