protocol,date,level_name,level,flush_timestamp,reclaim_timestamp,signal_timestamp,entry_price,swept_low,flush_depth,prior_touch_groups,acceptance_closes_above_L,non_acceptance_closes,multi_level_flush_count,confirmation,source_classification,mfe_60m,mae_60m,risk_to_sweep,tp2_hit,tp3_hit,next_level_hit,stop_first,expectancy_points_slippage_0_5
non_acceptance_protocol,2026-03-27,atr_minus_1,6413.91,2026-03-27T14:06:00-04:00,2026-03-27T14:07:00-04:00,2026-03-27T14:28:00-04:00,6417,6413.25,0.66,1,16,5,0,close_at_or_above_L_plus_5_then_hold_or_retest,saty_only_no_mancini_source_setup,4,28,4,true,true,false,false,2.5
simple_reclaim_unclassified,2026-03-27,atr_minus_1,6413.91,2026-03-27T14:40:00-04:00,2026-03-27T14:58:00-04:00,2026-03-27T14:58:00-04:00,6414.5,6398.25,15.66,3,1,0,0,flush_then_first_reclaim_without_specific_family_match,saty_only_no_mancini_source_setup,4.75,25.5,16.5,true,true,false,false,2.5
classic_acceptance_second_attempt_reclaim,2026-03-27,ext_minus_3,6460.36,2026-03-27T08:56:00-04:00,2026-03-27T09:00:00-04:00,2026-03-27T09:02:00-04:00,6464.75,6454,6.36,0,1,0,0,first_reclaim_failed_then_second_reclaim_closed_above_L,saty_only_no_mancini_source_setup,12.25,13,11,true,true,true,false,2.5
simple_reclaim_unclassified,2026-03-27,ext_minus_3,6460.36,2026-03-27T09:29:00-04:00,2026-03-27T09:31:00-04:00,2026-03-27T09:31:00-04:00,6464.75,6458.75,1.61,3,7,0,0,flush_then_first_reclaim_without_specific_family_match,saty_only_no_mancini_source_setup,22.25,13,6.25,true,true,true,true,-6.75
non_acceptance_protocol,2026-03-27,ext_minus_3,6460.36,2026-03-27T10:17:00-04:00,2026-03-27T10:18:00-04:00,2026-03-27T10:23:00-04:00,6481,6459,1.36,7,2,6,0,close_at_or_above_L_plus_5_then_hold_or_retest,saty_only_no_mancini_source_setup,9.25,24,22.25,true,true,true,false,2.5
classic_acceptance_second_attempt_reclaim,2026-03-27,ext_minus_3,6460.36,2026-03-27T10:17:00-04:00,2026-03-27T10:18:00-04:00,2026-03-27T10:21:00-04:00,6461.25,6459,1.36,7,2,6,0,first_reclaim_failed_then_second_reclaim_closed_above_L,saty_only_no_mancini_source_setup,29,4.25,2.5,true,true,true,true,-3
classic_acceptance_backtest_from_below,2026-03-27,ext_minus_3,6460.36,2026-03-27T11:09:00-04:00,2026-03-27T11:13:00-04:00,2026-03-27T11:15:00-04:00,6460.75,6457,3.36,9,3,0,0,flush_below_L_then_retest_of_L_holds,saty_only_no_mancini_source_setup,7.25,12,4,true,true,false,false,2.5
classic_acceptance_second_attempt_reclaim,2026-03-27,ext_minus_3,6460.36,2026-03-27T11:09:00-04:00,2026-03-27T11:13:00-04:00,2026-03-27T11:20:00-04:00,6462.75,6457,3.36,9,3,0,0,first_reclaim_failed_then_second_reclaim_closed_above_L,saty_only_no_mancini_source_setup,5.25,21.5,6,true,true,false,true,-6.5
classic_acceptance_backtest_from_below,2026-03-27,ext_minus_3,6460.36,2026-03-27T11:33:00-04:00,2026-03-27T11:47:00-04:00,2026-03-27T11:48:00-04:00,6462.5,6448.75,11.61,9,4,0,0,flush_below_L_then_retest_of_L_holds,saty_only_no_mancini_source_setup,5.5,31,14,true,true,false,false,2.5
classic_acceptance_second_attempt_reclaim,2026-03-27,ext_minus_3,6460.36,2026-03-27T11:33:00-04:00,2026-03-27T11:47:00-04:00,2026-03-27T12:06:00-04:00,6464,6448.75,11.61,9,4,0,0,first_reclaim_failed_then_second_reclaim_closed_above_L,saty_only_no_mancini_source_setup,4,38.75,15.5,true,true,false,false,2.5
classic_acceptance_second_attempt_reclaim,2026-03-27,ext_minus_2,6474.71,2026-03-27T08:32:00-04:00,2026-03-27T08:33:00-04:00,2026-03-27T08:37:00-04:00,6475.25,6474,0.71,0,1,0,0,first_reclaim_failed_then_second_reclaim_closed_above_L,saty_only_no_mancini_source_setup,18.25,21.25,1.5,true,true,true,true,-2
classic_acceptance_second_attempt_reclaim,2026-03-27,ext_minus_2,6474.71,2026-03-27T08:53:00-04:00,2026-03-27T09:17:00-04:00,2026-03-27T09:20:00-04:00,6476,6454,20.71,5,1,0,1,first_reclaim_failed_then_second_reclaim_closed_above_L,saty_only_no_mancini_source_setup,5.25,24.25,22.25,true,true,false,true,-22.75
classic_acceptance_backtest_from_below,2026-03-27,ext_minus_2,6474.71,2026-03-27T09:37:00-04:00,2026-03-27T10:03:00-04:00,2026-03-27T10:04:00-04:00,6475.75,6451.75,22.96,6,3,0,1,flush_below_L_then_retest_of_L_holds,saty_only_no_mancini_source_setup,14.5,18,24.25,true,true,true,false,2.5
classic_acceptance_second_attempt_reclaim,2026-03-27,ext_minus_2,6474.71,2026-03-27T09:37:00-04:00,2026-03-27T10:03:00-04:00,2026-03-27T10:23:00-04:00,6481,6451.75,22.96,6,3,0,1,first_reclaim_failed_then_second_reclaim_closed_above_L,saty_only_no_mancini_source_setup,9.25,24,29.5,true,true,true,false,2.5
non_acceptance_protocol,2026-03-27,ext_minus_2,6474.71,2026-03-27T10:23:00-04:00,2026-03-27T10:27:00-04:00,2026-03-27T10:40:00-04:00,6475.5,6462.75,11.96,9,14,6,0,close_at_or_above_L_plus_5_then_hold_or_retest,saty_only_no_mancini_source_setup,7.5,26.75,13,true,true,false,false,2.5
classic_acceptance_backtest_from_below,2026-03-27,ext_minus_2,6474.71,2026-03-27T10:23:00-04:00,2026-03-27T10:27:00-04:00,2026-03-27T10:28:00-04:00,6477.75,6462.75,11.96,9,14,6,0,flush_below_L_then_retest_of_L_holds,saty_only_no_mancini_source_setup,12.5,23.75,15.25,true,true,true,false,2.5
simple_reclaim_unclassified,2026-03-27,ext_minus_1,6489.05,2026-03-27T07:48:00-04:00,2026-03-27T07:51:00-04:00,2026-03-27T07:51:00-04:00,6493,6486.75,2.3,1,5,0,0,flush_then_first_reclaim_without_specific_family_match,saty_only_no_mancini_source_setup,3.75,26.75,6.5,true,true,false,false,2.5
