packet_id,png_path,level,status,acceptance_family,mancini_explicitness,raw_match_quality,primary_role,accepted_for_timing_test,pre_trap_bars,post_reclaim_bars,prior_visible_level_tests,visible_acceptance_closes,post_reclaim_mfe_from_level,post_reclaim_mae_from_level,immediate_failure_after_reclaim,reasons,caution_notes,manual_review_label
mancini-es1m:2026-03-04T0023:6776.0:6eac29c1821f,artifacts\research\mancini-real-packet-gallery\001_accepted_non_acceptance_protocol_20260304_0023_6776.0.png,6776.0,dangerous_demote_for_training,non_acceptance_protocol,support_resistance_list,price_and_role,SUPPORT_LEVEL,True,8,15,4,16,19.0,-1.75,False,support_resistance_list_only_not_training_proof,raw_source_match_quality_price_and_role,
mancini-es1m:2026-03-03T2139:6782.0:8cb8c2777bb4,artifacts\research\mancini-real-packet-gallery\002_accepted_classic_acceptance_backtest_from_below_20260303_2139_6782.0.png,6782.0,dangerous_demote_for_training,classic_acceptance_backtest_from_below,support_resistance_list,price_and_role,FAILED_BREAKDOWN_RECLAIM,True,10,15,4,16,9.25,2.5,False,support_resistance_list_only_not_training_proof,raw_source_match_quality_price_and_role,
mancini-es1m:2026-03-03T2039:6790.0:a70152a4e786,artifacts\research\mancini-real-packet-gallery\003_accepted_non_acceptance_protocol_20260303_2039_6790.0.png,6790.0,dangerous_demote_for_training,non_acceptance_protocol,support_resistance_list,price_and_role,SUPPORT_LEVEL,True,12,15,2,16,15.25,-1.25,False,support_resistance_list_only_not_training_proof,raw_source_match_quality_price_and_role,
mancini-es1m:2026-03-03T1928:6800.0:398c6bacdc82,artifacts\research\mancini-real-packet-gallery\004_excluded_classic_acceptance_second_attempt_reclaim_20260303_1928_6800.0.png,6800.0,dangerous_demote_for_training,classic_acceptance_second_attempt_reclaim,explicit_mancini_narrative,price_only,FAILED_BREAKDOWN_RECLAIM,False,18,15,10,1,14.0,4.75,True,excluded_from_timing_stats;weak_raw_price_only_provenance;reclaim_not_after_trap_in_crop;weak_visible_acceptance_after_reclaim;closed_back_below_level_soon_after_reclaim,,
mancini-es1m:2026-03-03T1940:6802.0:7287cc965506,artifacts\research\mancini-real-packet-gallery\005_accepted_non_acceptance_protocol_20260303_1940_6802.0.png,6802.0,dangerous_demote_for_training,non_acceptance_protocol,support_resistance_list,price_and_role,SUPPORT_LEVEL,True,6,15,5,8,12.0,4.5,False,support_resistance_list_only_not_training_proof,raw_source_match_quality_price_and_role,
mancini-es1m:2026-03-03T1715:6818.0:4df8690d4034,artifacts\research\mancini-real-packet-gallery\006_accepted_classic_acceptance_backtest_from_below_20260303_1715_6818.0.png,6818.0,dangerous_demote_for_training,classic_acceptance_backtest_from_below,support_resistance_list,price_and_role,SUPPORT_LEVEL,True,6,15,0,7,6.75,7.0,False,support_resistance_list_only_not_training_proof;post_reclaim_adverse_excursion_exceeds_favorable_move,raw_source_match_quality_price_and_role;prior_shelf_or_cluster_not_visible_in_crop,
mancini-es1m:2026-03-03T1820:6822.0:ceea33247e1a,artifacts\research\mancini-real-packet-gallery\007_accepted_non_acceptance_protocol_20260303_1820_6822.0.png,6822.0,dangerous_demote_for_training,non_acceptance_protocol,support_resistance_list,exact_snippet,FIRST_SUPPORT_CAUTION,True,4,15,0,11,11.0,9.75,False,quant_agent_high_risk_late_or_weak_source_subset;support_resistance_list_only_not_training_proof;mancini_first_support_caution,limited_pre_trap_context_in_crop;prior_shelf_or_cluster_not_visible_in_crop,
mancini-es1m:2026-03-04T0912:6853.0:4e1e52046e44,artifacts\research\mancini-real-packet-gallery\008_accepted_non_acceptance_protocol_20260304_0912_6853.0.png,6853.0,insufficient_visual_context,non_acceptance_protocol,explicit_mancini_narrative,partial_snippet,FAILED_BREAKDOWN_RECLAIM,True,2,15,0,16,33.25,2.25,False,,raw_source_match_quality_partial_snippet;limited_pre_trap_context_in_crop;prior_shelf_or_cluster_not_visible_in_crop,
mancini-es1m:2026-03-09T1913:6764.0:33352b2c422b,artifacts\research\mancini-real-packet-gallery\009_accepted_non_acceptance_protocol_20260309_1913_6764.0.png,6764.0,dangerous_demote_for_training,non_acceptance_protocol,support_resistance_list,price_and_role,SUPPORT_LEVEL,True,15,14,3,0,15.25,1.5,False,support_resistance_list_only_not_training_proof;weak_visible_acceptance_after_reclaim,raw_source_match_quality_price_and_role,
mancini-es1m:2026-03-09T1927:6774.0:2758841277d0,artifacts\research\mancini-real-packet-gallery\010_accepted_non_acceptance_protocol_20260309_1927_6774.0.png,6774.0,dangerous_demote_for_training,non_acceptance_protocol,support_resistance_list,price_and_role,SUPPORT_LEVEL,True,1,15,0,16,15.0,-1.5,False,quant_agent_high_risk_late_or_weak_source_subset;support_resistance_list_only_not_training_proof,raw_source_match_quality_price_and_role;limited_pre_trap_context_in_crop;prior_shelf_or_cluster_not_visible_in_crop,
